cedula,nombre_completo,eps,telefono,email,fecha_nacimiento,genero,direccion
1350603328,Julián García Valencia,Salud Total,+57 363 094 5046,julian.garcia80@gmail.com,1978-11-06,M,Diagonal 37C # 3-49
18642605,Juan Carlos Jiménez Moreno,Salud Total,+57 343 900 1954,,1981-01-16,M,Avenida 19 # 59-30 Apto 214
3328945867,Miguel Ángel Zapata Vargas,Salud Total,+57 342 572 2832,miguel.zapata36@gmail.com,1941-08-01,M,Transversal 3B # 45-13 Apto 466
3380392443,Diego Alejandro Grisales Giraldo,Salud Total,+57 359 045 2149,diego.grisales86@gmail.com,1974-07-10,,Carrera 49 # 40-29
63215736,Wilson Salazar Sánchez,Salud Total,+57 383 265 0452,,,M,
5576367907,Ana Milena Restrepo Díaz,Salud Total,+57 378 471 0972,ana.restrepo77@gmail.com,2022-02-02,F,Diagonal 71 # 1-11
8671324994,Camila Osorio Arango,Salud Total,+57 340 528 1124,,2000-10-25,F,Transversal 34 # 17-14
7243622469,Jhon Fredy Restrepo Ramírez,Salud Total,+57 366 668 0456,,1965-10-20,M,Carrera 55 # 51-68
72156929,Sofía Pérez Sánchez,Salud Total,,,1991-07-07,F,Calle 15 # 29-68
3022982026,Carlos Alberto Bedoya Jiménez,Salud Total,+57 355 141 5851,carlos.bedoya88@gmail.com,1995-03-21,M,Carrera 44A # 83-34
6379302386,Luis Fernando García López,Salud Total,+57 377 926 0361,luis.garcia99@gmail.com,1952-08-04,M,Carrera 69 # 46-1
6915017976,Ana Milena Marín Bedoya,Salud Total,+57 339 451 9433,,1940-07-13,F,Diagonal 9 # 61-79
86092645,Hernán Darío Zuluaga Sánchez,Salud Total,+57 369 859 4251,hernan.zuluaga17@hotmail.com,,M,Avenida 52E # 84-39 Apto 310
37531232,Marcela Grisales Arango,Salud Total,+57 338 260 8106,,1975-05-26,F,Carrera 90 # 89-55
4327029759,Gustavo Adolfo Díaz Ramírez,Salud Total,+57 326 056 3211,,1935-06-10,,Diagonal 51 # 58-43
4709816825,Camilo Osorio Muñoz,Salud Total,+57 331 548 1656,,2008-04-03,M,Carrera 13E # 21-77
52339216,Luisa Fernanda Moreno Díaz,Salud Total,+57 397 879 3570,luisa.moreno67@hotmail.com,2021-04-14,F,Transversal 90 # 78-96
9136300923,Sebastián Martínez González,Salud Total,+57 393 734 4877,,1947-06-02,,Calle 82 # 60-61
4578256299,Hernán Darío González Osorio,Salud Total,+57 396 430 5039,hernan.gonzalez80@gmail.com,1978-06-19,M,Avenida 56F # 35-12
40055384,Nicolás Ocampo González,Salud Total,,nicolas.ocampo76@gmail.com,2007-11-02,M,Diagonal 89A # 39-24 Apto 215
2377540731,Claudia Patricia Zuluaga Cifuentes,Salud Total,+57 315 167 2300,claudia.zuluaga66@hotmail.com,1939-04-27,F,Avenida 2 # 89-26
90594822,Édgar Bedoya Giraldo,Salud Total,,edgar.bedoya54@yahoo.com,2004-06-07,M,
1613832862,Luisa Fernanda Martínez Marín,Salud Total,+57 332 162 3103,,1996-10-21,F,Calle 20 # 13-23
43850830,Camilo Jiménez Betancur,Salud Total,,camilo.jimenez94@hotmail.com,1963-12-17,M,Avenida 65 # 28-80
31164355,Ricardo Ruiz Vargas,Salud Total,+57 362 881 7660,,2015-05-18,M,Diagonal 89 # 69-58
8659898023,Natalia Cifuentes Torres,Salud Total,+57 388 518 3547,natalia.cifuentes80@gmail.com,1980-02-03,F,
2802254814,Gloria Inés López Valencia,Salud Total,+57 399 103 1398,gloria.lopez94@outlook.com,1948-07-27,F,Transversal 63D # 44-68
5427551163,Gustavo Adolfo Bedoya Jiménez,Salud Total,+57 366 113 7548,gustavo.bedoya83@yahoo.com,2015-04-06,M,Diagonal 47 # 47-13
90427721,Gloria Inés Moreno López,Salud Total,+57 380 198 7034,,2000-04-22,,Calle 44 # 66-48
7176231373,Óscar Iván Torres Ruiz,Salud Total,+57 371 917 6050,oscar.torres13@yahoo.com,1961-02-12,M,
6774503107,Gloria Inés Ruiz Rojas,Salud Total,+57 347 458 2738,gloria.ruiz77@outlook.com,1951-02-11,F,Calle 5C # 66-10
1620285993,Carlos Alberto Marín Cardona,Salud Total,+57 324 930 2551,,1988-09-21,M,Avenida 28 # 78-26
1544609186,Marcela Ruiz Grisales,Salud Total,+57 392 403 1692,marcela.ruiz70@outlook.com,1999-12-15,F,Calle 84 # 50-78
